what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1334835785023
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334835785385
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334835786441
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334835786982
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334835791581
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1334835797425
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1334835799898
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334835807177
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334835813502
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334835816009
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334836846671
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334836850186
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334836851498
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1334836881760
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334836881873
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334836882804
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334836884620
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334839445254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334839446403
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334839593401
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1334839595505
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334839597576
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334839599926
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334839612347
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334839613558
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334839619093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334839915874
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334839916409
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334839918715
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1334839924341
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1334839925870
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334839926253
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334839926501
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334839926914
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334839928735
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334839934737
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334839949238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1334839970511
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1334839993511
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334840004339
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334840007449
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1334840015675
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334840015944
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334840030992
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1334840044283
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1334840045863
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334840046320
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334840051439
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334840052742
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1334840053804
